vehicle_id,latitude,longitude,route_id,trip_id,direction_id,stop_sequence,occupancy_status,bearing_degrees,speed_mps,observed_at
demo-vehicle-01,42.3298,-71.0838,1,synthetic-trip-01,0,1,MANY_SEATS_AVAILABLE,315.0,5.0,2026-01-01T14:00:00+00:00
demo-vehicle-01,42.331604,-71.085212,1,synthetic-trip-01,0,2,MANY_SEATS_AVAILABLE,315.0,5.0,2026-01-01T14:01:26+00:00
demo-vehicle-01,42.333408,-71.086625,1,synthetic-trip-01,0,3,MANY_SEATS_AVAILABLE,315.0,5.0,2026-01-01T14:02:52+00:00
demo-vehicle-01,42.335212,-71.088037,1,synthetic-trip-01,0,4,MANY_SEATS_AVAILABLE,315.0,5.0,2026-01-01T14:04:18+00:00
demo-vehicle-01,42.337017,-71.08945,1,synthetic-trip-01,0,5,MANY_SEATS_AVAILABLE,315.0,5.0,2026-01-01T14:05:44+00:00
demo-vehicle-01,42.338821,-71.090863,1,synthetic-trip-01,0,6,MANY_SEATS_AVAILABLE,315.0,5.0,2026-01-01T14:07:10+00:00
demo-vehicle-01,42.340625,-71.092275,1,synthetic-trip-01,0,7,MANY_SEATS_AVAILABLE,315.0,5.0,2026-01-01T14:08:36+00:00
demo-vehicle-01,42.342429,-71.093688,1,synthetic-trip-01,0,8,MANY_SEATS_AVAILABLE,315.0,5.0,2026-01-01T14:10:02+00:00
demo-vehicle-01,42.344233,-71.0951,1,synthetic-trip-01,0,9,MANY_SEATS_AVAILABLE,315.0,5.0,2026-01-01T14:11:28+00:00
demo-vehicle-01,42.346038,-71.096513,1,synthetic-trip-01,0,10,MANY_SEATS_AVAILABLE,315.0,5.0,2026-01-01T14:12:54+00:00
demo-vehicle-01,42.347842,-71.097925,1,synthetic-trip-01,0,11,MANY_SEATS_AVAILABLE,315.0,5.0,2026-01-01T14:14:20+00:00
demo-vehicle-01,42.349646,-71.099338,1,synthetic-trip-01,0,12,MANY_SEATS_AVAILABLE,315.0,5.0,2026-01-01T14:15:46+00:00
